on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
23 AVENUE                       ,24,0,24
EAST 34 STREET                  ,24,0,24
BAYCHESTER AVENUE               ,24,0,24
GREENPOINT AVENUE               ,24,0,24
BUFFALO AVENUE                  ,24,0,24
EVERGREEN AVENUE                ,24,0,24
BRONX RIVER PARKWAY RAMP        ,22,2,24
TOMPKINS AVENUE                 ,24,0,24
103 AVENUE                      ,24,0,24
FORT HAMILTON PARKWAY           ,24,0,24
BARTOW AVENUE                   ,23,0,23
WEST 135 STREET                 ,23,0,23
NEW UTRECHT AVENUE              ,23,0,23
46 STREET                       ,23,0,23
AMBOY ROAD                      ,23,0,23
MORRIS PARK AVENUE              ,23,0,23
109 AVENUE                      ,23,0,23
39 STREET                       ,22,1,23
13 AVENUE                       ,23,0,23
FOCH BOULEVARD                  ,23,0,23
BLEECKER STREET                 ,23,0,23
BAISLEY BOULEVARD               ,23,0,23
CROTONA AVENUE                  ,20,2,22
WALTON AVENUE                   ,22,0,22
MOSHOLU PARKWAY                 ,22,0,22
NEWKIRK AVENUE                  ,22,0,22
107 AVENUE                      ,22,0,22
COOPER AVENUE                   ,22,0,22
BAY RIDGE PARKWAY               ,22,0,22
147 STREET                      ,22,0,22
80 STREET                       ,22,0,22
81 STREET                       ,22,0,22
130 STREET                      ,22,0,22
LENOX ROAD                      ,22,0,22
IRVING AVENUE                   ,22,0,22
KINGSTON AVENUE                 ,22,0,22
DITMARS BOULEVARD               ,22,0,22
QUEENS PLAZA SOUTH              ,22,0,22
UNION AVENUE                    ,22,0,22
STANLEY AVENUE                  ,22,0,22
PROSPECT AVENUE                 ,21,0,21
73 AVENUE                       ,20,1,21
BELMONT AVENUE                  ,21,0,21
SEAVIEW AVENUE                  ,21,0,21
CLASSON AVENUE                  ,21,0,21
TILDEN AVENUE                   ,21,0,21
BOWERY                          ,21,0,21
STONE AVENUE                    ,21,0,21
RIVERDALE AVENUE                ,21,0,21
MEEKER AVENUE                   ,21,0,21
EXTERIOR STREET                 ,21,0,21
INTERVALE AVENUE                ,21,0,21
GLENMORE AVENUE                 ,21,0,21
WEST DRIVE                      ,20,1,21
EAST BURNSIDE AVENUE            ,21,0,21
CAPODANNO BOULEVARD             ,20,0,20
QUEENS MIDTOWN TUNNEL           ,20,0,20
SUNRISE HIGHWAY                 ,20,0,20
ROSEDALE AVENUE                 ,20,0,20
AVENUE Y                        ,20,0,20
HOOK CREEK BOULEVARD            ,20,0,20
97 STREET                       ,20,0,20
RIDGEWOOD AVENUE                ,20,0,20
WEST 230 STREET                 ,20,0,20
TROY AVENUE                     ,20,0,20
WATSON AVENUE                   ,20,0,20
78 STREET                       ,20,0,20
WEST TREMONT AVENUE             ,20,0,20
AUDUBON AVENUE                  ,20,0,20
KENT AVENUE                     ,20,0,20
JACKSON AVENUE                  ,20,0,20
THROOP AVENUE                   ,20,0,20
AVENUE P                        ,20,0,20
TARGEE STREET                   ,20,0,20
43 AVENUE                       ,20,0,20
43 STREET                       ,19,0,19
